,k,x,reward,patch_label,regret,m,q,simul_id
188,2.0,[  3.         829.53493842  -2.64736152],0.0,Speaker,1.0,[ 0.0044969   0.06701563 -0.08457744],[ 1.03839852 10.38790823 15.498624  ],8
209,3.0,[  2.         347.57647846  -9.65856603],0.0,non_Speaker,1.0,[ 0.00524422  0.08901604 -0.09011953],[ 1.02903237 10.02838383 11.90464558],8
213,2.0,[  3.         840.27001594  -2.2038549 ],0.0,Speaker,1.0,[ 0.00449513  0.06701635 -0.08457703],[ 1.03839836 10.38781364 15.4986343 ],8
220,3.0,[   2.           55.93253726 -103.8069993 ],0.0,non_Speaker,1.0,[ 0.00523763  0.08901677 -0.09011652],[ 1.02903509 10.02915915 11.90625029],8
237,2.0,[  3.         221.53471742 -10.74865427],1.0,Speaker,0.0,[ 0.00449848  0.06701525 -0.08457696],[ 1.03840004 10.38827997 15.49922212],8
271,3.0,[   2.          510.92405438 -173.22037985],1.0,non_Speaker,0.0,[ 0.00523321  0.08902035 -0.0901118 ],[ 1.02903792 10.03043416 11.9113043 ],8
304,3.0,[  2.          54.53409999 -35.04251939],0.0,non_Speaker,1.0,[ 0.00521161  0.08901952 -0.09011538],[ 1.02903633 10.03002337 11.91001998],8
324,3.0,[   2.          264.05556351 -166.12648564],0.0,non_Speaker,1.0,[ 0.0052339   0.08900335 -0.09012581],[ 1.02975229 10.56143831 12.12746584],8
328,4.0,[   2.           45.03938575 -105.91183903],1.0,non_Speaker,0.0,[-0.11934486  2.32735417 -1.8024067 ],[1. 1. 1.],8
333,3.0,[  2.         248.93383749  -9.32015091],0.0,non_Speaker,1.0,[-1.97367805  3.37127752 -0.45405529],[1. 1. 1.],8
363,3.0,[  2.         260.17508401 -10.70209393],1.0,non_Speaker,0.0,[ 0.00523716  0.08901836 -0.09011502],[ 1.02974811 10.55925461 12.12854517],8
8,2.0,[   3.          227.3289212  -129.49611506],0.0,Speaker,1.0,0.0,5.0,9
16,1.0,[  1.         591.65816756 142.46516621],0.0,STS,1.0,0.0,5.0,9
21,4.0,[  2.         847.56193287  -2.65868703],0.0,non_Speaker,1.0,0.0,5.0,9
30,2.0,[  3.         265.17012083 -16.95182046],1.0,Speaker,0.0,0.0,5.0,9
40,3.0,[  2.         571.07440956  -4.04818009],0.0,non_Speaker,1.0,0.0,5.0,9
52,5.0,[  2.          41.27841706 -64.68243684],0.0,non_Speaker,1.0,0.0,5.0,9
57,5.0,[   2.          255.22612973 -170.0008418 ],0.0,non_Speaker,1.0,0.0,5.0,9
63,3.0,[  2.          51.71125712 -58.98115764],1.0,non_Speaker,0.0,0.0,5.0,9
71,5.0,[   2.          827.55057079 -178.73194136],0.0,non_Speaker,1.0,0.0,5.0,9
85,3.0,[  2.          53.31923821 -56.21734795],1.0,non_Speaker,0.0,0.0,5.0,9
90,4.0,[   2.          265.75059915 -168.42704635],0.0,non_Speaker,1.0,0.0,5.0,9
94,4.0,[   2.          272.67312974 -177.20133217],1.0,non_Speaker,0.0,0.0,5.0,9
100,2.0,[   3.          257.12289386 -168.94265398],0.0,Speaker,1.0,0.0,5.0,9
106,2.0,[   3.          239.55552616 -165.91118715],1.0,Speaker,0.0,0.0,5.0,9
136,2.0,[  3.          51.61773023 -43.1662804 ],1.0,Speaker,0.0,0.0,5.0,9
142,5.0,[  2.         241.84178876   2.29478793],0.0,non_Speaker,1.0,0.0,5.0,9
158,4.0,[   2.          366.5239074  -178.23122766],0.0,non_Speaker,1.0,0.0,5.0,9
167,3.0,[  2.          38.179945   -60.76020035],0.0,non_Speaker,1.0,0.0,5.0,9
176,3.0,[  2.         201.25044537  -7.22591861],0.0,non_Speaker,1.0,0.0,5.0,9
186,5.0,[   2.           62.3626589  -121.24833686],1.0,non_Speaker,0.0,0.0,5.0,9
188,2.0,[  3.         842.80753165  -1.10920792],0.0,Speaker,1.0,0.0,5.0,9
194,4.0,[  2.         558.59674063  -5.88921412],0.0,non_Speaker,1.0,0.0,5.0,9
207,5.0,[   2.           43.65485472 -132.24726393],1.0,non_Speaker,0.0,0.0,5.0,9
211,1.0,[  1.         570.90182187  -5.06404849],0.0,STS,1.0,0.0,5.0,9
219,2.0,[  3.         515.01611602  -5.49475412],0.0,Speaker,1.0,0.0,5.0,9
225,0.0,[  0.         225.38520358 151.33636573],0.0,CB,1.0,0.0,5.0,9
228,4.0,[   2.          225.37499251 -167.88120807],0.0,non_Speaker,1.0,[ 0.00014928  0.02035113 -0.01322546],[ 1.00199896 40.35065301 15.72634963],9
231,2.0,[  3.          72.39843506 -68.40173653],1.0,Speaker,0.0,[ 0.00341303  0.05875072 -0.04912448],[1.02714914 9.04011616 6.62082261],9
240,4.0,[   2.          213.36966894 -166.36052778],1.0,non_Speaker,0.0,[ 0.00015485  0.02035324 -0.01322165],[ 1.00438961 70.70697111 32.57116102],9
247,3.0,[  2.          70.64361472 -78.86028572],0.0,non_Speaker,1.0,[ 0.00197496  0.05188846 -0.05682973],[ 1.01989797 12.12212095 18.32310592],9
253,3.0,[  2.         291.82336815 -12.7314706 ],0.0,non_Speaker,1.0,[ 0.00197485  0.05188857 -0.05682981],[ 1.02052396 12.903249   19.2964866 ],9
258,2.0,[  3.         530.04312857  -5.44709285],0.0,Speaker,1.0,[ 0.00335689  0.0595172  -0.05043402],[1.02679871 9.52671038 7.19382925],9
267,2.0,[ 3.00000000e+00  5.52664463e+02 -4.47354637e-01],0.0,Speaker,1.0,[ 0.00335424  0.05951836 -0.05043291],[1.02679861 9.52668244 7.19381018],9
272,4.0,[  2.         324.8855533   -4.99944325],0.0,non_Speaker,1.0,[ 0.00020395  0.02295037 -0.01725636],[ 1.00208666 29.57597951 15.73802276],9
280,2.0,[  3.         534.51810766  -5.93967356],0.0,Speaker,1.0,[ 0.00335727  0.05951832 -0.05043362],[1.02679759 9.52634721 7.19356301],9
285,3.0,[  2.         342.44603712 -14.42654816],1.0,non_Speaker,0.0,[ 0.00198912  0.05188988 -0.05682778],[ 1.02052486 12.90938114 19.29707952],9
290,3.0,[  2.          67.52896812 -94.54576359],0.0,non_Speaker,1.0,[ 0.00200043  0.05189805 -0.05682147],[ 1.02052426 12.9086546  19.29662747],9
296,3.0,[   2.          298.79628228 -164.80516265],0.0,non_Speaker,1.0,[ 0.0019746   0.05188869 -0.05682892],[ 1.02082731 13.25464793 19.97245976],9
302,2.0,[  3.          66.7250717  -50.26899723],1.0,Speaker,0.0,[ 0.00335559  0.05951747 -0.0504349 ],[1.0267974  9.52627769 7.19350921],9
