,k,x,reward,patch_label,regret,m,q,simul_id
8,2.0,[   3.          227.3289212  -129.49611506],0.0,Speaker,1.0,0.0,5.0,0
16,1.0,[  1.         591.65816756 142.46516621],0.0,STS,1.0,0.0,5.0,0
21,4.0,[  2.         847.56193287  -2.65868703],0.0,non_Speaker,1.0,0.0,5.0,0
30,2.0,[  3.         265.17012083 -16.95182046],1.0,Speaker,0.0,0.0,5.0,0
40,3.0,[  2.         571.07440956  -4.04818009],0.0,non_Speaker,1.0,0.0,5.0,0
52,5.0,[  2.          41.27841706 -64.68243684],0.0,non_Speaker,1.0,0.0,5.0,0
57,5.0,[   2.          255.22612973 -170.0008418 ],0.0,non_Speaker,1.0,0.0,5.0,0
63,3.0,[  2.          51.71125712 -58.98115764],1.0,non_Speaker,0.0,0.0,5.0,0
71,5.0,[   2.          827.55057079 -178.73194136],0.0,non_Speaker,1.0,0.0,5.0,0
85,3.0,[  2.          53.31923821 -56.21734795],1.0,non_Speaker,0.0,0.0,5.0,0
90,4.0,[   2.          265.75059915 -168.42704635],0.0,non_Speaker,1.0,0.0,5.0,0
94,4.0,[   2.          272.67312974 -177.20133217],1.0,non_Speaker,0.0,0.0,5.0,0
100,2.0,[   3.          257.12289386 -168.94265398],0.0,Speaker,1.0,0.0,5.0,0
106,2.0,[   3.          239.55552616 -165.91118715],1.0,Speaker,0.0,0.0,5.0,0
136,2.0,[  3.          51.61773023 -43.1662804 ],1.0,Speaker,0.0,0.0,5.0,0
142,5.0,[  2.         241.84178876   2.29478793],0.0,non_Speaker,1.0,0.0,5.0,0
158,4.0,[   2.          366.5239074  -178.23122766],0.0,non_Speaker,1.0,0.0,5.0,0
167,3.0,[  2.          38.179945   -60.76020035],0.0,non_Speaker,1.0,0.0,5.0,0
176,3.0,[  2.         201.25044537  -7.22591861],0.0,non_Speaker,1.0,0.0,5.0,0
186,5.0,[   2.           62.3626589  -121.24833686],1.0,non_Speaker,0.0,0.0,5.0,0
188,2.0,[  3.         842.80753165  -1.10920792],0.0,Speaker,1.0,0.0,5.0,0
194,4.0,[  2.         558.59674063  -5.88921412],0.0,non_Speaker,1.0,0.0,5.0,0
207,5.0,[   2.           43.65485472 -132.24726393],1.0,non_Speaker,0.0,0.0,5.0,0
211,1.0,[  1.         570.90182187  -5.06404849],0.0,STS,1.0,0.0,5.0,0
219,2.0,[  3.         515.01611602  -5.49475412],0.0,Speaker,1.0,0.0,5.0,0
225,0.0,[  0.         225.38520358 151.33636573],0.0,CB,1.0,0.0,5.0,0
228,4.0,[   2.          225.37499251 -167.88120807],0.0,non_Speaker,1.0,[ 0.00014928  0.02035113 -0.01322546],[ 1.00199896 40.35065301 15.72634963],0
231,2.0,[  3.          72.39843506 -68.40173653],1.0,Speaker,0.0,[ 0.00341303  0.05875072 -0.04912448],[1.02714914 9.04011616 6.62082261],0
240,4.0,[   2.          213.36966894 -166.36052778],1.0,non_Speaker,0.0,[ 0.00015485  0.02035324 -0.01322165],[ 1.00438961 70.70697111 32.57116102],0
247,3.0,[  2.          70.64361472 -78.86028572],0.0,non_Speaker,1.0,[ 0.00197496  0.05188846 -0.05682973],[ 1.01989797 12.12212095 18.32310592],0
253,3.0,[  2.         291.82336815 -12.7314706 ],0.0,non_Speaker,1.0,[ 0.00197485  0.05188857 -0.05682981],[ 1.02052396 12.903249   19.2964866 ],0
258,2.0,[  3.         530.04312857  -5.44709285],0.0,Speaker,1.0,[ 0.00335689  0.0595172  -0.05043402],[1.02679871 9.52671038 7.19382925],0
267,2.0,[ 3.00000000e+00  5.52664463e+02 -4.47354637e-01],0.0,Speaker,1.0,[ 0.00335424  0.05951836 -0.05043291],[1.02679861 9.52668244 7.19381018],0
272,4.0,[  2.         324.8855533   -4.99944325],0.0,non_Speaker,1.0,[ 0.00020395  0.02295037 -0.01725636],[ 1.00208666 29.57597951 15.73802276],0
280,2.0,[  3.         534.51810766  -5.93967356],0.0,Speaker,1.0,[ 0.00335727  0.05951832 -0.05043362],[1.02679759 9.52634721 7.19356301],0
285,3.0,[  2.         342.44603712 -14.42654816],1.0,non_Speaker,0.0,[ 0.00198912  0.05188988 -0.05682778],[ 1.02052486 12.90938114 19.29707952],0
290,3.0,[  2.          67.52896812 -94.54576359],0.0,non_Speaker,1.0,[ 0.00200043  0.05189805 -0.05682147],[ 1.02052426 12.9086546  19.29662747],0
296,3.0,[   2.          298.79628228 -164.80516265],0.0,non_Speaker,1.0,[ 0.0019746   0.05188869 -0.05682892],[ 1.02082731 13.25464793 19.97245976],0
302,2.0,[  3.          66.7250717  -50.26899723],1.0,Speaker,0.0,[ 0.00335559  0.05951747 -0.0504349 ],[1.0267974  9.52627769 7.19350921],0
310,2.0,[  3.          73.96480905 -65.52116522],0.0,Speaker,1.0,[ 0.00336654  0.06266151 -0.05164271],[ 1.0270674  10.53737143  7.4820544 ],0
315,2.0,[  3.         259.7915166  -15.24581644],0.0,Speaker,1.0,[ 0.00336904  0.06266124 -0.05164093],[ 1.02866238 11.50632801  8.24232333],0
320,2.0,[  3.         303.3611067   -8.97300862],0.0,Speaker,1.0,[ 0.00336964  0.06266137 -0.05163937],[ 1.02866438 11.50843126  8.24281436],0
350,4.0,[   2.           45.32374741 -107.12763896],1.0,non_Speaker,0.0,[ 0.00020828  0.02295788 -0.01724664],[ 1.00323257 59.81436761 15.74347078],0
357,3.0,[  2.         266.5259038  -13.96382719],1.0,non_Speaker,0.0,[ 0.00198629  0.05188423 -0.05683305],[ 1.02082608 13.25442289 19.97125865],0
365,3.0,[  2.          52.40859384 -78.27565552],1.0,non_Speaker,0.0,[ 0.00200089  0.05187415 -0.05684427],[ 1.02082243 13.27006047 19.96685951],0
376,2.0,[  3.         283.06797557  -5.74035436],0.0,Speaker,1.0,[ 0.0033688   0.06266132 -0.05164071],[ 1.02866277 11.50797922  8.24237796],0
8,2.0,[   3.          227.3289212  -129.49611506],0.0,Speaker,1.0,0.0,5.0,1
16,1.0,[  1.         591.65816756 142.46516621],0.0,STS,1.0,0.0,5.0,1
21,4.0,[  2.         847.56193287  -2.65868703],0.0,non_Speaker,1.0,0.0,5.0,1
30,2.0,[  3.         265.17012083 -16.95182046],1.0,Speaker,0.0,0.0,5.0,1
40,3.0,[  2.         571.07440956  -4.04818009],0.0,non_Speaker,1.0,0.0,5.0,1
52,5.0,[  2.          41.27841706 -64.68243684],0.0,non_Speaker,1.0,0.0,5.0,1
57,5.0,[   2.          255.22612973 -170.0008418 ],0.0,non_Speaker,1.0,0.0,5.0,1
63,3.0,[  2.          51.71125712 -58.98115764],1.0,non_Speaker,0.0,0.0,5.0,1
71,5.0,[   2.          827.55057079 -178.73194136],0.0,non_Speaker,1.0,0.0,5.0,1
85,3.0,[  2.          53.31923821 -56.21734795],1.0,non_Speaker,0.0,0.0,5.0,1
90,4.0,[   2.          265.75059915 -168.42704635],0.0,non_Speaker,1.0,0.0,5.0,1
94,4.0,[   2.          272.67312974 -177.20133217],1.0,non_Speaker,0.0,0.0,5.0,1
100,2.0,[   3.          257.12289386 -168.94265398],0.0,Speaker,1.0,0.0,5.0,1
106,2.0,[   3.          239.55552616 -165.91118715],1.0,Speaker,0.0,0.0,5.0,1
136,2.0,[  3.          51.61773023 -43.1662804 ],1.0,Speaker,0.0,0.0,5.0,1
142,5.0,[  2.         241.84178876   2.29478793],0.0,non_Speaker,1.0,0.0,5.0,1
158,4.0,[   2.          366.5239074  -178.23122766],0.0,non_Speaker,1.0,0.0,5.0,1
167,3.0,[  2.          38.179945   -60.76020035],0.0,non_Speaker,1.0,0.0,5.0,1
176,3.0,[  2.         201.25044537  -7.22591861],0.0,non_Speaker,1.0,0.0,5.0,1
186,5.0,[   2.           62.3626589  -121.24833686],1.0,non_Speaker,0.0,0.0,5.0,1
188,2.0,[  3.         842.80753165  -1.10920792],0.0,Speaker,1.0,0.0,5.0,1
194,4.0,[  2.         558.59674063  -5.88921412],0.0,non_Speaker,1.0,0.0,5.0,1
207,5.0,[   2.           43.65485472 -132.24726393],1.0,non_Speaker,0.0,0.0,5.0,1
211,1.0,[  1.         570.90182187  -5.06404849],0.0,STS,1.0,0.0,5.0,1
219,2.0,[  3.         515.01611602  -5.49475412],0.0,Speaker,1.0,0.0,5.0,1
225,0.0,[  0.         225.38520358 151.33636573],0.0,CB,1.0,0.0,5.0,1
228,4.0,[   2.          225.37499251 -167.88120807],0.0,non_Speaker,1.0,[ 0.00014928  0.02035113 -0.01322546],[ 1.00199896 40.35065301 15.72634963],1
231,2.0,[  3.          72.39843506 -68.40173653],1.0,Speaker,0.0,[ 0.00341303  0.05875072 -0.04912448],[1.02714914 9.04011616 6.62082261],1
240,4.0,[   2.          213.36966894 -166.36052778],1.0,non_Speaker,0.0,[ 0.00015485  0.02035324 -0.01322165],[ 1.00438961 70.70697111 32.57116102],1
247,3.0,[  2.          70.64361472 -78.86028572],0.0,non_Speaker,1.0,[ 0.00197496  0.05188846 -0.05682973],[ 1.01989797 12.12212095 18.32310592],1
253,3.0,[  2.         291.82336815 -12.7314706 ],0.0,non_Speaker,1.0,[ 0.00197485  0.05188857 -0.05682981],[ 1.02052396 12.903249   19.2964866 ],1
258,2.0,[  3.         530.04312857  -5.44709285],0.0,Speaker,1.0,[ 0.00335689  0.0595172  -0.05043402],[1.02679871 9.52671038 7.19382925],1
267,2.0,[ 3.00000000e+00  5.52664463e+02 -4.47354637e-01],0.0,Speaker,1.0,[ 0.00335424  0.05951836 -0.05043291],[1.02679861 9.52668244 7.19381018],1
272,4.0,[  2.         324.8855533   -4.99944325],0.0,non_Speaker,1.0,[ 0.00020395  0.02295037 -0.01725636],[ 1.00208666 29.57597951 15.73802276],1
280,2.0,[  3.         534.51810766  -5.93967356],0.0,Speaker,1.0,[ 0.00335727  0.05951832 -0.05043362],[1.02679759 9.52634721 7.19356301],1
285,3.0,[  2.         342.44603712 -14.42654816],1.0,non_Speaker,0.0,[ 0.00198912  0.05188988 -0.05682778],[ 1.02052486 12.90938114 19.29707952],1
290,3.0,[  2.          67.52896812 -94.54576359],0.0,non_Speaker,1.0,[ 0.00200043  0.05189805 -0.05682147],[ 1.02052426 12.9086546  19.29662747],1
296,3.0,[   2.          298.79628228 -164.80516265],0.0,non_Speaker,1.0,[ 0.0019746   0.05188869 -0.05682892],[ 1.02082731 13.25464793 19.97245976],1
302,2.0,[  3.          66.7250717  -50.26899723],1.0,Speaker,0.0,[ 0.00335559  0.05951747 -0.0504349 ],[1.0267974  9.52627769 7.19350921],1
310,2.0,[  3.          73.96480905 -65.52116522],0.0,Speaker,1.0,[ 0.00336654  0.06266151 -0.05164271],[ 1.0270674  10.53737143  7.4820544 ],1
315,2.0,[  3.         259.7915166  -15.24581644],0.0,Speaker,1.0,[ 0.00336904  0.06266124 -0.05164093],[ 1.02866238 11.50632801  8.24232333],1
320,2.0,[  3.         303.3611067   -8.97300862],0.0,Speaker,1.0,[ 0.00336964  0.06266137 -0.05163937],[ 1.02866438 11.50843126  8.24281436],1
350,4.0,[   2.           45.32374741 -107.12763896],1.0,non_Speaker,0.0,[ 0.00020828  0.02295788 -0.01724664],[ 1.00323257 59.81436761 15.74347078],1
357,3.0,[  2.         266.5259038  -13.96382719],1.0,non_Speaker,0.0,[ 0.00198629  0.05188423 -0.05683305],[ 1.02082608 13.25442289 19.97125865],1
365,3.0,[  2.          52.40859384 -78.27565552],1.0,non_Speaker,0.0,[ 0.00200089  0.05187415 -0.05684427],[ 1.02082243 13.27006047 19.96685951],1
376,2.0,[  3.         283.06797557  -5.74035436],0.0,Speaker,1.0,[ 0.0033688   0.06266132 -0.05164071],[ 1.02866277 11.50797922  8.24237796],1
12,0.0,[0. 0. 0.],0.0,CB,1.0,[-2.22044605e-16  0.00000000e+00  1.11022302e-16],[1.00000000e+00 1.99851786e+03 9.01588651e+02],1
17,0.0,[  0.         154.95086476 144.89448141],0.0,CB,1.0,[ 0.00000000e+00  0.00000000e+00 -5.55111512e-17],[1.00000000e+00 1.99851786e+03 9.01588651e+02],1
22,2.0,[  3.         278.18528775 -13.36742159],0.0,Speaker,1.0,[ 0.00336937  0.06266117 -0.0516408 ],[ 1.0286629  11.50863898  8.242395  ],1
35,2.0,[  3.         274.75022075 -16.3438536 ],1.0,Speaker,0.0,[ 0.00336888  0.06266252 -0.05164019],[ 1.02866166 11.50869681  8.2420514 ],1
42,2.0,[  3.          72.04585929 -74.17441624],0.0,Speaker,1.0,[ 0.0033691   0.06266148 -0.05164086],[ 1.02866249 11.50957137  8.24225206],1
46,2.0,[   3.          239.31038944 -163.41327527],0.0,Speaker,1.0,[ 0.00336902  0.06266187 -0.05164104],[ 1.02981097 12.1721046   8.94463279],1
54,3.0,[  2.         319.95046608  -6.87810196],1.0,non_Speaker,0.0,[ 0.00196724  0.05179624 -0.05934422],[ 1.01940515 12.60503521 19.47266508],1
78,2.0,[   3.          498.91150235 -172.24591144],0.0,Speaker,1.0,[ 0.003384    0.06267588 -0.05161754],[ 1.02981925 12.17544814  8.94720506],1
94,2.0,[   3.          517.24123636 -172.96884736],0.0,Speaker,1.0,[ 0.00336921  0.06266149 -0.05164059],[ 1.02981223 12.17260234  8.94499202],1
101,1.0,[  1.         244.44896458 118.78274256],0.0,STS,1.0,[ 8.32667268e-17 -2.22044605e-16 -6.66133815e-16],[1.07864477e+00 2.65824724e+04 8.00108290e+02],1
108,2.0,[   3.          239.083941   -165.38838976],1.0,Speaker,0.0,[ 0.00336901  0.06266158 -0.05164079],[ 1.02981182 12.17243969  8.94487402],1
112,2.0,[  3.          36.57243941 -69.76460009],1.0,Speaker,0.0,[ 0.00336886  0.06266228 -0.05164123],[ 1.02981001 12.17173077  8.94436263],1
121,2.0,[  3.          38.14105577 -64.11749974],1.0,Speaker,0.0,[ 0.00352763  0.05943099 -0.06129883],[ 1.03025019 10.49529389 10.9897179 ],1
128,2.0,[  3.          34.16256729 -66.44642042],1.0,Speaker,0.0,[ 0.0036723   0.05860649 -0.06664472],[ 1.0310186   9.70953465 11.90920268],1
137,3.0,[   2.          304.52529666 -178.05878641],0.0,non_Speaker,1.0,[ 0.00199543  0.05179769 -0.05934258],[ 1.01940477 12.60692527 19.47226275],1
141,3.0,[   2.          344.73412384 -177.28760635],0.0,non_Speaker,1.0,[ 0.00197152  0.05179899 -0.05934211],[ 1.01940505 12.60695965 19.47254047],1
145,3.0,[   2.          344.73683452 -177.28732334],0.0,non_Speaker,1.0,[ 1.74771534  1.74386542 -2.23870032],[1. 1. 1.],1
149,3.0,[   2.          365.52572038 -178.22602105],0.0,non_Speaker,1.0,[ 0.00197174  0.05179837 -0.05934255],[ 1.01940509 12.60704959 19.47256526],1
152,2.0,[   3.           32.37056085 -110.52842278],1.0,Speaker,0.0,[ 0.00378901  0.05751379 -0.07105459],[ 1.03173465  9.1047495  12.78960184],1
159,2.0,[   3.           33.12490009 -113.76985359],0.0,Speaker,1.0,[ 0.00365522  0.0562091  -0.07177171],[ 1.03266947  9.39030329 13.34099195],1
170,4.0,[   2.          562.22333776 -176.80700559],0.0,non_Speaker,1.0,[ 0.00089059  0.02055034 -0.04820918],[ 1.00700422 61.49622932 15.00953152],1
181,3.0,[  2.         195.29686928  -7.44707687],0.0,non_Speaker,1.0,[ 0.00197143  0.05179982 -0.05934212],[ 1.01940428 12.60641612 19.47180121],1
187,2.0,[  3.         830.4440093   -2.50633359],0.0,Speaker,1.0,[ 0.00377981  0.05730238 -0.07143442],[ 1.03186478  9.08922383 13.31948664],1
195,2.0,[  3.         839.94608151  -1.52237811],0.0,Speaker,1.0,[ 0.00377931  0.05730065 -0.07143262],[ 1.03187065  9.09075943 13.32183761],1
200,3.0,[  2.         306.67742047 -10.39124545],0.0,non_Speaker,1.0,[ 0.00197128  0.05179921 -0.05934189],[ 1.01946139 13.14351003 19.47339349],1
215,2.0,[  3.         844.19408869  -2.0579448 ],0.0,Speaker,1.0,[ 0.00377987  0.0572999  -0.07143151],[ 1.03187371  9.09154822 13.32308269],1
235,2.0,[  3.         511.22989315  -5.76096072],1.0,Speaker,0.0,[ 0.00377921  0.0573003  -0.07143305],[ 1.03187039  9.09072271 13.32169217],1
239,2.0,[  3.          57.4867536  -55.39473483],1.0,Speaker,0.0,[ 0.00378017  0.05729857 -0.07143459],[ 1.03187003  9.09075954 13.3213731 ],1
247,3.0,[   2.          218.9762523  -166.98558505],0.0,non_Speaker,1.0,[ 0.00196905  0.05179939 -0.05934096],[ 1.01946254 13.14753663 19.47438531],1
258,3.0,[  2.          62.46417973 -93.99372746],1.0,non_Speaker,0.0,[ 0.00197275  0.05179967 -0.0593395 ],[ 1.01946385 13.14826541 19.47569716],1
267,3.0,[  2.          12.59784513 -77.8669752 ],1.0,non_Speaker,0.0,[ 0.00196029  0.051788   -0.05992903],[ 1.01910044 13.05273946 19.49203489],1
273,2.0,[  3.         597.6338887   -3.29176298],0.0,Speaker,1.0,[ 0.00381043  0.05899097 -0.07179801],[ 1.03192246  9.37809363 13.22933386],1
276,5.0,[   2.          366.46774933 -178.5433454 ],0.0,non_Speaker,1.0,[ 0.00074015  0.01987636 -0.04679615],[  1.06422845 296.83372415  60.39466566],1
282,2.0,[  3.         533.62747202  -6.05784862],0.0,Speaker,1.0,[ 0.61780244  2.1031234  -1.03626158],[1. 1. 1.],1
302,3.0,[  2.         333.02795971 -15.02113225],0.0,non_Speaker,1.0,[ 0.00220451  0.04266383 -0.0731695 ],[ 1.01779894 14.47230969 19.78795682],1
314,2.0,[  3.          72.12727711 -63.08604352],0.0,Speaker,1.0,[ 0.00380606  0.05897495 -0.07180813],[ 1.03192842  9.38069113 13.23038634],1
320,2.0,[  3.         261.67537826 -14.22802484],0.0,Speaker,1.0,[ 0.0038032   0.05896827 -0.0718164 ],[ 1.03266407  9.8079572  13.55517598],1
330,3.0,[  2.         248.93383749  -9.32015091],0.0,non_Speaker,1.0,[ 0.00220265  0.0426642  -0.07316548],[ 1.0178037  14.48741374 19.79290017],1
339,4.0,[   2.           45.03938575 -105.91183903],1.0,non_Speaker,0.0,[ 0.00089904  0.02054258 -0.04821226],[ 1.00700965 61.64247407 15.00984699],1
341,2.0,[  3.         536.8269011   -5.16341377],0.0,Speaker,1.0,[ 1.28207083  2.6438254  -1.9753544 ],[1. 1. 1.],1
352,0.0,[  0.         153.70226181  44.17604362],0.0,CB,1.0,[-6.93889390e-18  5.55111512e-17  0.00000000e+00],[1.00000000e+00 2.94263934e+03 1.72713899e+03],1
362,4.0,[  2.          59.76709138 -97.06194306],0.0,non_Speaker,1.0,[ 0.00099178  0.02259113 -0.05317006],[ 1.00648193 32.6657702  16.33946037],1
372,3.0,[  2.          54.36566549 -78.70456536],1.0,non_Speaker,0.0,[ 0.00220197  0.04266292 -0.07316505],[ 1.01783194 14.903719   19.79493299],1
377,2.0,[  3.         283.06933213  -5.74084613],0.0,Speaker,1.0,[ 0.00380289  0.05896752 -0.07181617],[ 1.03266603  9.81106304 13.55579629],1
8,2.0,[   3.          227.3289212  -129.49611506],0.0,Speaker,1.0,0.0,5.0,2
16,1.0,[  1.         591.65816756 142.46516621],0.0,STS,1.0,0.0,5.0,2
21,4.0,[  2.         847.56193287  -2.65868703],0.0,non_Speaker,1.0,0.0,5.0,2
30,2.0,[  3.         265.17012083 -16.95182046],1.0,Speaker,0.0,0.0,5.0,2
40,3.0,[  2.         571.07440956  -4.04818009],0.0,non_Speaker,1.0,0.0,5.0,2
52,5.0,[  2.          41.27841706 -64.68243684],0.0,non_Speaker,1.0,0.0,5.0,2
57,5.0,[   2.          255.22612973 -170.0008418 ],0.0,non_Speaker,1.0,0.0,5.0,2
63,3.0,[  2.          51.71125712 -58.98115764],1.0,non_Speaker,0.0,0.0,5.0,2
71,5.0,[   2.          827.55057079 -178.73194136],0.0,non_Speaker,1.0,0.0,5.0,2
85,3.0,[  2.          53.31923821 -56.21734795],1.0,non_Speaker,0.0,0.0,5.0,2
90,4.0,[   2.          265.75059915 -168.42704635],0.0,non_Speaker,1.0,0.0,5.0,2
94,4.0,[   2.          272.67312974 -177.20133217],1.0,non_Speaker,0.0,0.0,5.0,2
100,2.0,[   3.          257.12289386 -168.94265398],0.0,Speaker,1.0,0.0,5.0,2
106,2.0,[   3.          239.55552616 -165.91118715],1.0,Speaker,0.0,0.0,5.0,2
136,2.0,[  3.          51.61773023 -43.1662804 ],1.0,Speaker,0.0,0.0,5.0,2
142,5.0,[  2.         241.84178876   2.29478793],0.0,non_Speaker,1.0,0.0,5.0,2
158,4.0,[   2.          366.5239074  -178.23122766],0.0,non_Speaker,1.0,0.0,5.0,2
167,3.0,[  2.          38.179945   -60.76020035],0.0,non_Speaker,1.0,0.0,5.0,2
176,3.0,[  2.         201.25044537  -7.22591861],0.0,non_Speaker,1.0,0.0,5.0,2
186,5.0,[   2.           62.3626589  -121.24833686],1.0,non_Speaker,0.0,0.0,5.0,2
188,2.0,[  3.         842.80753165  -1.10920792],0.0,Speaker,1.0,0.0,5.0,2
194,4.0,[  2.         558.59674063  -5.88921412],0.0,non_Speaker,1.0,0.0,5.0,2
207,5.0,[   2.           43.65485472 -132.24726393],1.0,non_Speaker,0.0,0.0,5.0,2
211,1.0,[  1.         570.90182187  -5.06404849],0.0,STS,1.0,0.0,5.0,2
219,2.0,[  3.         515.01611602  -5.49475412],0.0,Speaker,1.0,0.0,5.0,2
225,0.0,[  0.         225.38520358 151.33636573],0.0,CB,1.0,0.0,5.0,2
228,4.0,[   2.          225.37499251 -167.88120807],0.0,non_Speaker,1.0,[ 0.00014928  0.02035113 -0.01322546],[ 1.00199896 40.35065301 15.72634963],2
231,2.0,[  3.          72.39843506 -68.40173653],1.0,Speaker,0.0,[ 0.00341303  0.05875072 -0.04912448],[1.02714914 9.04011616 6.62082261],2
240,4.0,[   2.          213.36966894 -166.36052778],1.0,non_Speaker,0.0,[ 0.00015485  0.02035324 -0.01322165],[ 1.00438961 70.70697111 32.57116102],2
247,3.0,[  2.          70.64361472 -78.86028572],0.0,non_Speaker,1.0,[ 0.00197496  0.05188846 -0.05682973],[ 1.01989797 12.12212095 18.32310592],2
253,3.0,[  2.         291.82336815 -12.7314706 ],0.0,non_Speaker,1.0,[ 0.00197485  0.05188857 -0.05682981],[ 1.02052396 12.903249   19.2964866 ],2
258,2.0,[  3.         530.04312857  -5.44709285],0.0,Speaker,1.0,[ 0.00335689  0.0595172  -0.05043402],[1.02679871 9.52671038 7.19382925],2
267,2.0,[ 3.00000000e+00  5.52664463e+02 -4.47354637e-01],0.0,Speaker,1.0,[ 0.00335424  0.05951836 -0.05043291],[1.02679861 9.52668244 7.19381018],2
272,4.0,[  2.         324.8855533   -4.99944325],0.0,non_Speaker,1.0,[ 0.00020395  0.02295037 -0.01725636],[ 1.00208666 29.57597951 15.73802276],2
280,2.0,[  3.         534.51810766  -5.93967356],0.0,Speaker,1.0,[ 0.00335727  0.05951832 -0.05043362],[1.02679759 9.52634721 7.19356301],2
285,3.0,[  2.         342.44603712 -14.42654816],1.0,non_Speaker,0.0,[ 0.00198912  0.05188988 -0.05682778],[ 1.02052486 12.90938114 19.29707952],2
290,3.0,[  2.          67.52896812 -94.54576359],0.0,non_Speaker,1.0,[ 0.00200043  0.05189805 -0.05682147],[ 1.02052426 12.9086546  19.29662747],2
296,3.0,[   2.          298.79628228 -164.80516265],0.0,non_Speaker,1.0,[ 0.0019746   0.05188869 -0.05682892],[ 1.02082731 13.25464793 19.97245976],2
302,2.0,[  3.          66.7250717  -50.26899723],1.0,Speaker,0.0,[ 0.00335559  0.05951747 -0.0504349 ],[1.0267974  9.52627769 7.19350921],2
310,2.0,[  3.          73.96480905 -65.52116522],0.0,Speaker,1.0,[ 0.00336654  0.06266151 -0.05164271],[ 1.0270674  10.53737143  7.4820544 ],2
315,2.0,[  3.         259.7915166  -15.24581644],0.0,Speaker,1.0,[ 0.00336904  0.06266124 -0.05164093],[ 1.02866238 11.50632801  8.24232333],2
320,2.0,[  3.         303.3611067   -8.97300862],0.0,Speaker,1.0,[ 0.00336964  0.06266137 -0.05163937],[ 1.02866438 11.50843126  8.24281436],2
350,4.0,[   2.           45.32374741 -107.12763896],1.0,non_Speaker,0.0,[ 0.00020828  0.02295788 -0.01724664],[ 1.00323257 59.81436761 15.74347078],2
357,3.0,[  2.         266.5259038  -13.96382719],1.0,non_Speaker,0.0,[ 0.00198629  0.05188423 -0.05683305],[ 1.02082608 13.25442289 19.97125865],2
365,3.0,[  2.          52.40859384 -78.27565552],1.0,non_Speaker,0.0,[ 0.00200089  0.05187415 -0.05684427],[ 1.02082243 13.27006047 19.96685951],2
376,2.0,[  3.         283.06797557  -5.74035436],0.0,Speaker,1.0,[ 0.0033688   0.06266132 -0.05164071],[ 1.02866277 11.50797922  8.24237796],2
12,0.0,[0. 0. 0.],0.0,CB,1.0,[-2.22044605e-16  0.00000000e+00  1.11022302e-16],[1.00000000e+00 1.99851786e+03 9.01588651e+02],2
17,0.0,[  0.         154.95086476 144.89448141],0.0,CB,1.0,[ 0.00000000e+00  0.00000000e+00 -5.55111512e-17],[1.00000000e+00 1.99851786e+03 9.01588651e+02],2
22,2.0,[  3.         278.18528775 -13.36742159],0.0,Speaker,1.0,[ 0.00336937  0.06266117 -0.0516408 ],[ 1.0286629  11.50863898  8.242395  ],2
35,2.0,[  3.         274.75022075 -16.3438536 ],1.0,Speaker,0.0,[ 0.00336888  0.06266252 -0.05164019],[ 1.02866166 11.50869681  8.2420514 ],2
42,2.0,[  3.          72.04585929 -74.17441624],0.0,Speaker,1.0,[ 0.0033691   0.06266148 -0.05164086],[ 1.02866249 11.50957137  8.24225206],2
46,2.0,[   3.          239.31038944 -163.41327527],0.0,Speaker,1.0,[ 0.00336902  0.06266187 -0.05164104],[ 1.02981097 12.1721046   8.94463279],2
54,3.0,[  2.         319.95046608  -6.87810196],1.0,non_Speaker,0.0,[ 0.00196724  0.05179624 -0.05934422],[ 1.01940515 12.60503521 19.47266508],2
78,2.0,[   3.          498.91150235 -172.24591144],0.0,Speaker,1.0,[ 0.003384    0.06267588 -0.05161754],[ 1.02981925 12.17544814  8.94720506],2
94,2.0,[   3.          517.24123636 -172.96884736],0.0,Speaker,1.0,[ 0.00336921  0.06266149 -0.05164059],[ 1.02981223 12.17260234  8.94499202],2
101,1.0,[  1.         244.44896458 118.78274256],0.0,STS,1.0,[ 8.32667268e-17 -2.22044605e-16 -6.66133815e-16],[1.07864477e+00 2.65824724e+04 8.00108290e+02],2
108,2.0,[   3.          239.083941   -165.38838976],1.0,Speaker,0.0,[ 0.00336901  0.06266158 -0.05164079],[ 1.02981182 12.17243969  8.94487402],2
112,2.0,[  3.          36.57243941 -69.76460009],1.0,Speaker,0.0,[ 0.00336886  0.06266228 -0.05164123],[ 1.02981001 12.17173077  8.94436263],2
121,2.0,[  3.          38.14105577 -64.11749974],1.0,Speaker,0.0,[ 0.00352763  0.05943099 -0.06129883],[ 1.03025019 10.49529389 10.9897179 ],2
128,2.0,[  3.          34.16256729 -66.44642042],1.0,Speaker,0.0,[ 0.0036723   0.05860649 -0.06664472],[ 1.0310186   9.70953465 11.90920268],2
137,3.0,[   2.          304.52529666 -178.05878641],0.0,non_Speaker,1.0,[ 0.00199543  0.05179769 -0.05934258],[ 1.01940477 12.60692527 19.47226275],2
141,3.0,[   2.          344.73412384 -177.28760635],0.0,non_Speaker,1.0,[ 0.00197152  0.05179899 -0.05934211],[ 1.01940505 12.60695965 19.47254047],2
145,3.0,[   2.          344.73683452 -177.28732334],0.0,non_Speaker,1.0,[ 1.74771534  1.74386542 -2.23870032],[1. 1. 1.],2
149,3.0,[   2.          365.52572038 -178.22602105],0.0,non_Speaker,1.0,[ 0.00197174  0.05179837 -0.05934255],[ 1.01940509 12.60704959 19.47256526],2
